This surface was created by:		
1)Scanning the Mckay 1969 Snowmelt tables from the original paper		
2)Digitizing the scanned immage into XYZ values		
3)interpolating a uniform 100x100 grid using TableCurve 3d 		
X = temperature in Celcius		
Y = julain day		
z= Snow melt potential in mm		
X_temp	 Y_Jday	Grid_pot
0	0.20772823	0
0	3.89647576	0.00000002
0	7.58522328	0
0	11.2739708	0
0	14.96271832	0
0	18.65146585	0
0	22.34021337	0
0	26.02896089	0
0	29.71770841	0.00000001
0	33.40645594	0
0	37.09520346	0.00000004
0	40.78395098	0
0	44.4726985	0
0	48.16144603	0
0	51.85019355	0.00000002
0	55.53894107	0
0	59.22768859	0.00000001
0	62.91643612	0.00000001
0	66.60518364	0.00000002
0	70.29393116	0
0	73.98267868	0.0000002
0	77.67142621	0.00000004
0	81.36017373	0
0	85.04892125	0
0	88.73766877	0.00000002
0	92.4264163	0.00000009
0	96.11516382	0.00000001
0	99.80391134	0
0	103.4926589	0.00000002
0	107.1814064	0
0	110.8701539	0
0	114.5589014	0
0	118.247649	0.00000001
0	121.9363965	0.00000051
0	125.625144	0.00000379
0	129.3138915	0.00000996
0	133.0026391	0.00001882
0	136.6913866	0.00003018
0	140.3801341	0.00004385
0	144.0688816	0.00005965
0	147.7576291	0.00007737
0	151.4463767	0.00009684
0	155.1351242	0.00011786
0	158.8238717	0.00014024
0	162.5126192	0.00016379
0	166.2013668	0.00018833
0	169.8901143	0.00021365
0	173.5788618	0.00023958
0	177.2676093	0.00026592
0	180.9563568	0.00029248
0	184.6451044	0.00031907
0	188.3338519	0.0003455
0	192.0225994	0.00037158
0	195.7113469	0.00039712
0	199.4000945	0.00042194
0	203.088842	0.00044583
0	206.7775895	0.00046862
0	210.466337	0.0004901
0	214.1550845	0.00051009
0	217.8438321	0.00052841
0	221.5325796	0.00054486
0	225.2213271	0.00055924
0	228.9100746	0.00057138
0	232.5988222	0.00058107
0	236.2875697	0.00058814
0	239.9763172	0.00059238
0	243.6650647	0.00059362
0	247.3538122	0.00059165
0	251.0425598	0.00058629
0	254.7313073	0.00057736
0	258.4200548	0.00056465
0	262.1088023	0.00054798
0	265.7975499	0.00052716
0	269.4862974	0.000502
0	273.1750449	0.00047231
0	276.8637924	0.0004379
0	280.55254	0.00039857
0	284.2412875	0.00035415
0	287.930035	0.00030443
0	291.6187825	0.00024923
